-574130.4256546777	  inf
-494195.2926801489	1.39228e-01
-489893.5893704742	8.70446e-03
-486478.3162138813	6.97146e-03
-483858.3973027024	5.38548e-03
-481457.3872217870	4.96222e-03
-479369.2380626000	4.33714e-03
-477995.1605496838	2.86643e-03
-477152.5625476937	1.76278e-03
-476618.1577855008	1.11999e-03
-476224.0245165539	8.26937e-04
-475899.0455954135	6.82408e-04
-475636.9990919256	5.50635e-04
-475439.1815814999	4.15900e-04
-475302.3920905503	2.87712e-04
-475199.8801375691	2.15677e-04
-475108.3995466739	1.92510e-04
-475046.2038852774	1.30908e-04
-474989.0860345147	1.20236e-04
-474934.5965078974	1.14717e-04
-474874.6572163496	1.26205e-04
-474833.4399561469	8.67961e-05
